PLOT NUMBER,SIZE PER PLOT, PRICE PER HA , FINAL VALUE ,BUYER'S NAME, DEPOSIT ,BALANCE
G142,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G143,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G144,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G145,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G146,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G147,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G148,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G149,0.0872," 205,882,352.00 "," 17,952,941.09 ",,," 17,952,941.09 "
G150,0.0872," 205,882,352.00 "," 17,952,941.09 ",,," 17,952,941.09 "
G151,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G152,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G153,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G154,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G155,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G156,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G157,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G158,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G159,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G160,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G161,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G162,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G163,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G164,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G165,0.2908," 205,882,352.00 "," 59,870,587.96 ",,," 59,870,587.96 "
G166,2.948," 205,882,352.00 "," 606,941,173.70 ",,," 606,941,173.70 "
G167,2.937," 205,882,352.00 "," 604,676,467.82 ",,," 604,676,467.82 "
G168,1.159," 205,882,352.00 "," 238,617,645.97 ",,," 238,617,645.97 "
G169,2.948," 205,882,352.00 "," 606,941,173.70 ",,," 606,941,173.70 "
G170,2.479," 205,882,352.00 "," 510,382,350.61 ",,," 510,382,350.61 "
G171,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G172,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G173,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G174,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G175,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G176,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G177,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G178,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G179,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G180,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G181,0.2," 205,882,352.00 "," 41,176,470.40 ",,," 41,176,470.40 "
G182,0.2," 205,882,352.00 "," 41,176,470.40 ",,," 41,176,470.40 "
G183,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G184,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G185,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G186,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G187,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G188,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G189,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G190,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G191,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
G192,0.0884," 205,882,352.00 "," 18,199,999.92 ",,," 18,199,999.92 "
K001,0.043," 205,882,352.00 "," 8,852,941.14 ",,," 8,852,941.14 "
K002,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K003,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K004,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K005,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K006,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K007,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K008,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K009,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K010,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K011,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K012,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K013,0.1199," 205,882,352.00 "," 24,685,294.00 ",,," 24,685,294.00 "
K014,0.0785," 205,882,352.00 "," 16,161,764.63 ",,," 16,161,764.63 "
K015,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K016,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K017,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K018,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K019,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K020,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K021,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K022,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K023,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K024,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K025,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K026,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K027,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K028,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K029,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K030,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K031,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K032,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K033,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K034,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K035,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K036,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K037,0.0811," 205,882,352.00 "," 16,697,058.75 ",,," 16,697,058.75 "
K038,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K039,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K040,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K041,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K042,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K043,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K044,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K045,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K046,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K047,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K048,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K049,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K050,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K051,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K052,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K053,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K054,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K055,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K056,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K057,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K058,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K059,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
